Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,Efficiency_WhKm,FastChargeSpeed_kmph
4.4 sec,233 km/h,485 km,155 Wh/km,,All Wheel Drive,5,53668.0,,155,750
12.1 sec,130 km/h,185 km,250 Wh/km,,Front Wheel Drive,7,51940.0,,250,290
12.1 sec,130 km/h,180 km,257 Wh/km,,Front Wheel Drive,7,52730.0,,257,290
13.3 sec,130 km/h,265 km,257 Wh/km,,Front Wheel Drive,7,57940.0,,257,290
13.3 sec,130 km/h,260 km,262 Wh/km,,Front Wheel Drive,7,58730.0,,262,280
12.1 sec,130 km/h,185 km,250 Wh/km,,Front Wheel Drive,7,50992.0,,250,290
12.1 sec,130 km/h,180 km,257 Wh/km,,Front Wheel Drive,7,51825.0,,257,290
13.3 sec,130 km/h,265 km,257 Wh/km,,Front Wheel Drive,7,56942.0,,257,290
13.3 sec,130 km/h,260 km,262 Wh/km,,Front Wheel Drive,7,57775.0,,262,280
13.1 sec,130 km/h,185 km,250 Wh/km,,Front Wheel Drive,7,51940.0,,250,290
13.1 sec,130 km/h,180 km,257 Wh/km,,Front Wheel Drive,7,52730.0,,257,290
14.3 sec,130 km/h,265 km,257 Wh/km,,Front Wheel Drive,7,57940.0,,257,290
14.3 sec,130 km/h,260 km,262 Wh/km,,Front Wheel Drive,7,58730.0,,262,280
12.1 sec,130 km/h,180 km,257 Wh/km,,Front Wheel Drive,7,,,257,290
12.1 sec,130 km/h,180 km,257 Wh/km,,Front Wheel Drive,7,,,257,290
13.1 sec,130 km/h,260 km,262 Wh/km,,Front Wheel Drive,7,,,262,280
13.1 sec,130 km/h,260 km,262 Wh/km,,Front Wheel Drive,7,,,262,280
12.0 sec,160 km/h,310 km,290 Wh/km,,Front Wheel Drive,7,64248.0,,290,310
12.0 sec,160 km/h,305 km,295 Wh/km,,Front Wheel Drive,7,65140.0,,295,310
12.0 sec,160 km/h,210 km,286 Wh/km,,Front Wheel Drive,7,60678.0,,286,310
12.0 sec,160 km/h,205 km,293 Wh/km,,Front Wheel Drive,7,61571.0,,293,300
5.0 sec,217 km/h,435 km,172 Wh/km,,All Wheel Drive,5,59017.0,,172,670
3.3 sec,261 km/h,460 km,163 Wh/km,,All Wheel Drive,5,57668.0,,163,710
5.4 sec,230 km/h,380 km,187 Wh/km,,Rear Wheel Drive,4,89351.0,,187,930
5.4 sec,230 km/h,445 km,188 Wh/km,,Rear Wheel Drive,4,95074.0,,188,1090
4.0 sec,250 km/h,370 km,192 Wh/km,,All Wheel Drive,4,109819.0,,192,910
4.0 sec,250 km/h,430 km,195 Wh/km,,All Wheel Drive,4,115341.0,,195,1060
3.2 sec,260 km/h,405 km,207 Wh/km,,All Wheel Drive,4,157300.0,,207,1000
2.8 sec,260 km/h,395 km,212 Wh/km,,All Wheel Drive,4,190620.0,,212,970
10.4 sec,160 km/h,410 km,188 Wh/km,,Rear Wheel Drive,5,,,188,520
8.8 sec,160 km/h,335 km,173 Wh/km,,Rear Wheel Drive,5,43000.0,,173,450
8.7 sec,160 km/h,445 km,173 Wh/km,,Rear Wheel Drive,5,54400.0,,173,560
7.0 sec,160 km/h,430 km,179 Wh/km,,All Wheel Drive,5,57000.0,,179,540
6.5 sec,180 km/h,405 km,190 Wh/km,,All Wheel Drive,5,63300.0,,190,560
7.7 sec,185 km/h,265 km,174 Wh/km,,Front Wheel Drive,5,35490.0,,174,320
7.8 sec,185 km/h,390 km,190 Wh/km,,Rear Wheel Drive,5,,,190,1020
5.5 sec,200 km/h,380 km,195 Wh/km,,All Wheel Drive,5,63200.0,,195,990
4.0 sec,235 km/h,365 km,203 Wh/km,,All Wheel Drive,5,73100.0,,203,950
11.9 sec,130 km/h,205 km,158 Wh/km,,Front Wheel Drive,4,29995.0,,158,170
10.2 sec,145 km/h,330 km,233 Wh/km,,Rear Wheel Drive,5,64581.0,,233,460
4.2 sec,210 km/h,485 km,187 Wh/km,,All Wheel Drive,5,103827.0,,187,720
3.5 sec,240 km/h,480 km,189 Wh/km,,All Wheel Drive,5,109777.0,,189,720
7.9 sec,144 km/h,235 km,166 Wh/km,,Front Wheel Drive,5,33400.0,,166,230
6.9 sec,157 km/h,340 km,174 Wh/km,,Front Wheel Drive,5,41100.0,,174,240
7.3 sec,185 km/h,390 km,190 Wh/km,,Rear Wheel Drive,5,47900.0,,190,1020
5.1 sec,185 km/h,385 km,192 Wh/km,,All Wheel Drive,5,59200.0,,192,1010
8.9 sec,160 km/h,345 km,193 Wh/km,,Front Wheel Drive,7,52550.0,,193,500
7.8 sec,167 km/h,380 km,171 Wh/km,,Front Wheel Drive,5,47590.0,,171,380
6.7 sec,180 km/h,330 km,188 Wh/km,,Rear Wheel Drive,5,42490.0,,188,510
6.7 sec,210 km/h,495 km,219 Wh/km,,Rear Wheel Drive,7,110801.0,,219,650
6.0 sec,210 km/h,485 km,224 Wh/km,,All Wheel Drive,7,114609.0,,224,630
4.6 sec,210 km/h,485 km,224 Wh/km,,All Wheel Drive,7,135434.0,,224,630
4.7 sec,240 km/h,510 km,199 Wh/km,,All Wheel Drive,5,135900.0,,199,760
5.6 sec,160 km/h,310 km,206 Wh/km,,All Wheel Drive,5,68000.0,,206,460
7.5 sec,150 km/h,315 km,190 Wh/km,,Front Wheel Drive,5,39563.0,,190,380
9.7 sec,140 km/h,170 km,176 Wh/km,,Front Wheel Drive,5,35990.0,,176,210
2.9 sec,270 km/h,685 km,172 Wh/km,,All Wheel Drive,5,218000.0,,172,870
8.6 sec,160 km/h,355 km,187 Wh/km,,Front Wheel Drive,5,50777.0,,187,510
8.6 sec,160 km/h,375 km,188 Wh/km,,Front Wheel Drive,5,52205.0,,188,520
5.6 sec,210 km/h,615 km,175 Wh/km,,All Wheel Drive,5,113359.0,,175,920
4.8 sec,210 km/h,605 km,178 Wh/km,,All Wheel Drive,5,125378.0,,178,900
5.6 sec,180 km/h,355 km,182 Wh/km,,All Wheel Drive,5,55000.0,,182,510
6.9 sec,180 km/h,405 km,190 Wh/km,,All Wheel Drive,5,49020.0,,190,510
4.9 sec,225 km/h,440 km,188 Wh/km,,All Wheel Drive,5,69200.0,,188,880
19.1 sec,125 km/h,165 km,152 Wh/km,,Front Wheel Drive,4,22550.0,,152,180
9.7 sec,150 km/h,275 km,168 Wh/km,,Front Wheel Drive,5,37540.0,,168,440
7.7 sec,160 km/h,300 km,169 Wh/km,,Rear Wheel Drive,5,31990.0,,169,340
7.9 sec,160 km/h,365 km,169 Wh/km,,Rear Wheel Drive,5,35990.0,,169,450
7.4 sec,160 km/h,380 km,197 Wh/km,,Front Wheel Drive,5,41560.0,,197,480
4.2 sec,200 km/h,510 km,196 Wh/km,,All Wheel Drive,5,57000.0,,196,730
3.9 sec,200 km/h,510 km,196 Wh/km,,All Wheel Drive,5,69950.0,,196,730
3.9 sec,200 km/h,510 km,196 Wh/km,,All Wheel Drive,5,69950.0,,196,730
7.6 sec,210 km/h,515 km,173 Wh/km,,Rear Wheel Drive,5,66402.0,,173,650
6.4 sec,210 km/h,515 km,173 Wh/km,,Rear Wheel Drive,5,70210.0,,173,650
6.3 sec,210 km/h,500 km,181 Wh/km,,All Wheel Drive,5,73363.0,,181,750
4.7 sec,210 km/h,500 km,181 Wh/km,,All Wheel Drive,5,87286.0,,181,750
8.8 sec,185 km/h,360 km,150 Wh/km,,Rear Wheel Drive,5,43900.0,,150,880
7.4 sec,185 km/h,475 km,156 Wh/km,,Rear Wheel Drive,5,54000.0,,156,1240
5.1 sec,185 km/h,440 km,168 Wh/km,,All Wheel Drive,5,61100.0,,168,1150
6.9 sec,180 km/h,400 km,192 Wh/km,,All Wheel Drive,5,55900.0,,192,500
12.1 sec,130 km/h,185 km,250 Wh/km,,Front Wheel Drive,7,55990.0,,250,290
13.3 sec,130 km/h,265 km,257 Wh/km,,Front Wheel Drive,7,61990.0,,257,290
12.1 sec,130 km/h,180 km,257 Wh/km,,Front Wheel Drive,7,56990.0,,257,290
13.3 sec,130 km/h,260 km,262 Wh/km,,Front Wheel Drive,7,62990.0,,262,280
4.2 sec,235 km/h,350 km,211 Wh/km,,All Wheel Drive,5,67300.0,,211,860
9.0 sec,135 km/h,135 km,158 Wh/km,,Front Wheel Drive,4,,,158,230
9.0 sec,135 km/h,135 km,158 Wh/km,,Front Wheel Drive,4,35490.0,,158,230
