Name	Subtitle	Acceleration	TopSpeed	Range	Efficiency	FastChargeSpeed	Drive	NumberofSeats	PriceinGermany	PriceinUK
Audi e-tron GT quattro	85 kWh useable battery          Available since March 2021	4.1 sec	245 km/h	420 km	202 Wh/km		All Wheel Drive	4	€106,050	
Hyundai Kona Electric 39 kWh	39.2 kWh useable battery          Available since June 2021	9.9 sec	155 km/h	250 km	157 Wh/km		Front Wheel Drive	5	€36,400	
Hyundai Kona Electric 64 kWh	64 kWh useable battery          Available since June 2021	7.9 sec	167 km/h	395 km	162 Wh/km		Front Wheel Drive	5	€42,900	
Porsche Taycan 4S Cross Turismo	83.7 kWh useable battery          Available since July 2021	4.1 sec	240 km/h	425 km	197 Wh/km		All Wheel Drive	4	€114,222	
Porsche Taycan Turbo Cross Turismo	83.7 kWh useable battery          Available since July 2021	3.3 sec	250 km/h	400 km	209 Wh/km		All Wheel Drive	4	€157,776	
Porsche Taycan Turbo S Cross Turismo	83.7 kWh useable battery          Available since July 2021	2.9 sec	250 km/h	385 km	217 Wh/km		All Wheel Drive	4	€191,096	
Kia EV6 GT	74 kWh useable battery          Available since April 2022	3.5 sec	260 km/h	370 km	200 Wh/km		All Wheel Drive	5	€72,990	
BMW iX xDrive40	71 kWh useable battery          Available since October 2021	6.1 sec	200 km/h	360 km	197 Wh/km		All Wheel Drive	5	€77,300	
BMW iX xDrive50	105.2 kWh useable battery          Available since November 2021	4.6 sec	200 km/h	505 km	208 Wh/km		All Wheel Drive	5	€100,100	
MG MG5 Electric Long Range	57.4 kWh useable battery          Available since March 2022	7.7 sec	185 km/h	335 km	171 Wh/km		Front Wheel Drive	5	€38,490	
MG Marvel R Performance	65 kWh useable battery          Available since October 2021	4.9 sec	200 km/h	330 km	197 Wh/km		All Wheel Drive	5	€50,990	
Hyundai IONIQ 5 Standard Range 2WD	54 kWh useable battery          Available since July 2021	8.5 sec	185 km/h	295 km	183 Wh/km		Rear Wheel Drive	5	€43,900	
Kia EV6 Standard Range 2WD	54 kWh useable battery          Available since October 2021	8.5 sec	185 km/h	305 km	177 Wh/km		Rear Wheel Drive	5	€46,990	
Kia EV6 Long Range 2WD	74 kWh useable battery          Available since October 2021	7.3 sec	185 km/h	410 km	180 Wh/km		Rear Wheel Drive	5	€51,990	
Kia EV6 Long Range AWD	74 kWh useable battery          Available since October 2021	5.2 sec	185 km/h	400 km	185 Wh/km		All Wheel Drive	5	€55,980	
Mercedes EQS 450+	107.8 kWh useable battery          Available since October 2021	6.2 sec	210 km/h	640 km	168 Wh/km		Rear Wheel Drive	5	€109,551	
Mercedes EQS 580 4MATIC	107.8 kWh useable battery          Available since October 2021	4.3 sec	210 km/h	605 km	178 Wh/km		All Wheel Drive	5	€141,705	
Volkswagen ID.4 Pure	52 kWh useable battery          Available since February 2021	10.9 sec	160 km/h	285 km	182 Wh/km		Rear Wheel Drive	5		
Audi Q4 e-tron 40	76.6 kWh useable battery          Available since June 2021	8.5 sec	160 km/h	405 km	189 Wh/km		Rear Wheel Drive	5	€51,900	
